mp_id,first_name,last_name,title,cand_for,birth,natio,place_resid,region_resid
929,Andrej,Danko,JUDr. ,Slovenská národná strana,1974-08-12,slovenská,Miloslavov,Bratislavský
779,Ondrej,Dostál,Mgr. ,Sloboda a Solidarita,1971-04-05,ukrajinská,"",""
780,Juraj,Droba,"Mgr., MBA MA",Sloboda a Solidarita,1971-05-25,slovenská,Bratislava,Bratislavský
951,Stanislav,Drobný,Bc. ,Kotleba - Ľudová strana Naše Slovensko,1970-06-10,slovenská,Piešťany,Trnavský
911,Viera,Dubačová,Mgr. art. ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1962-07-19,slovenská,Banská Bystrica,Banskobystrický
812,Lucia,ĎurišNicholsonová, ,Sloboda a Solidarita,1976-11-28,slovenská,Bratislava,Bratislavský
973,Emil,Ďurovčík,Ing. ,SMER – sociálna demokracia,1957-08-03,slovenská,Sliepkovce,Košický
36,Vladimír,Faič,RSDr. ,SMER – sociálna demokracia,1948-07-15,slovenská,Prašice,Nitriansky
931,Karol,Farkašovský,"Mgr., PhD.",Slovenská národná strana,1955-08-17,slovenská,Bratislava,Bratislavský
783,Martin,Fecko,Ing. ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1962-10-08,slovenská,"",""
653,Martin,Fedor,"Mgr., MEconSc.",#SIEŤ,1974-03-04,slovenská,Trenčianske Teplice,Trenčiansky
914,Soňa,Gaborčáková,PhDr. ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1977-08-20,slovenská,Stará Ľubovňa,Prešovský
258,Gábor,Gál,Mgr. ,MOST-HÍD,1974-11-22,maďarská,Veľká Mača,Trnavský
966,Karol,Galek,"RNDr., MSc.",Sloboda a Solidarita,1979-07-14,slovenská,Svit,Prešovský
656,Dušan,Galis,Mgr. ,SMER – sociálna demokracia,1949-11-24,slovenská,Bratislava,Bratislavský
785,Ľubomír,Galko,Mgr. ,Sloboda a Solidarita,1968-02-14,slovenská,"",""
658,Tibor,Glenda,Ing. ,SMER – sociálna demokracia,1955-07-22,slovenská,Alekšince,Nitriansky
659,Martin,Glváč,JUDr. ,SMER – sociálna demokracia,1967-11-20,slovenská,Bratislava,Bratislavský
927,Ľudovít,Goga,Ing. ,SME RODINA - Boris Kollár,1969-02-05,slovenská,Bratislava,Bratislavský
738,Pavol,Goga,PaedDr. ,SMER – sociálna demokracia,1963-06-24,slovenská,Topoľčany,Nitriansky
948,Natália,Grausová,MUDr. ,Kotleba - Ľudová strana Naše Slovensko,1953-12-04,slovenská,Bratislava,Bratislavský
